,epochs,num_fidelities_0,num_times_0,num_fidelities_1,num_times_1,num_fidelities_2,num_times_2,num_fidelities_3,num_times_3,num_fidelities_4,num_times_4
3131,3131,0.7967703624317718,72.1339693069458,0.7688050142586625,84.36252880096436,0.7548136409795643,78.76260018348694,0.7528781759133713,97.64121389389038,0.7486761402244247,86.83739876747131
3132,3132,0.7967763573240731,72.15636420249939,0.7688113593675369,84.38578510284424,0.7548266166610056,78.78378629684448,0.7528887965347976,97.66508674621582,0.7486942570081914,86.87090349197388
3133,3133,0.7967822630532496,72.17891335487366,0.7688176773950515,84.4119393825531,0.7548396138641383,78.80614042282104,0.7528995399855353,97.69028663635254,0.7487123863766867,86.901291847229
3134,3134,0.7967867260031746,72.20515942573547,0.7688239489919956,84.43834900856018,0.7548526219434685,78.82894372940063,0.7529104021599585,97.71397733688354,0.7487305371132001,86.93220496177673
3135,3135,0.7967969294631901,72.227205991745,0.7688301529930262,84.46646785736084,0.7548656308608188,78.85173177719116,0.7529213781462591,97.73643493652344,0.7487487161373334,86.96359491348267
3136,3136,0.7968081314922623,72.24940657615662,0.7688362661189143,84.4910979270935,0.7548786315705571,78.87572646141052,0.7529324621844664,97.76195430755615,0.7487669284450054,86.99427962303162
3137,3137,0.7968201214205732,72.27410387992859,0.768842264465828,84.51605892181396,0.7548916163465396,78.90051293373108,0.7529436476988869,97.78827333450317,0.7487828174874461,87.02107310295105
3138,3138,0.7968239408776003,72.29590106010437,0.7688481263272277,84.54071497917175,0.7549045789978657,78.9241156578064,0.7529549273941677,97.81404900550842,0.7487987375990748,87.049813747406
3139,3139,0.7968195302319582,72.31849098205566,0.7688538357466497,84.56654715538025,0.7549175149516668,78.95024394989014,0.7529662934034128,97.83778715133667,0.748814678532134,87.07618069648743
3140,3140,0.7968085359010826,72.34241318702698,0.7688593861996507,84.58971047401428,0.7549304212150135,78.97705841064453,0.7529777374712224,97.86419153213501,0.748830631078998,87.1015739440918
3141,3141,0.7968001373645377,72.36649012565613,0.7688647839179885,84.6149091720581,0.7549432962426925,79.00004601478577,0.7529892511581662,97.88641691207886,0.7488465873293423,87.1245608329773
3142,3142,0.7967915961944405,72.390385389328,0.7688700504763006,84.64392185211182,0.754956139743208,79.02693247795105,0.7530008260517798,97.91706538200378,0.7488625408367043,87.15045261383057
3143,3143,0.7967849229566036,72.41081380844116,0.7688752232946717,84.66925144195557,0.7549689524492248,79.05706858634949,0.7530124539694555,97.94652080535889,0.7488784866061043,87.17272686958313
3144,3144,0.7967817759532494,72.43664216995239,0.7688803432642071,84.698397397995,0.7549817358758555,79.08463644981384,0.7530241271443784,97.97568154335022,0.7488944208466297,87.19816946983337
3145,3145,0.7967792090887119,72.45714116096497,0.7688854303166281,84.7235734462738,0.7549944920831687,79.11350584030151,0.7530358383819289,98.00155305862427,0.748910340618319,87.22119045257568
3146,3146,0.7967771820547718,72.48018884658813,0.7688904923327975,84.75183916091919,0.755007223456367,79.1428210735321,0.7530475811842985,98.02837133407593,0.7489262437084778,87.24790477752686
3147,3147,0.7967756288090143,72.50536322593689,0.7688955408792392,84.78161382675171,0.755019932513449,79.17477321624756,0.7530593498360793,98.05455183982849,0.7489421288561422,87.27031898498535
3148,3148,0.7967729887784187,72.53577876091003,0.7689005872563887,84.80795073509216,0.7550326217457385,79.20021510124207,0.7530711394519964,98.08166217803955,0.7489579960079752,87.2959611415863
3149,3149,0.7967768899756715,72.56359720230103,0.7689056365786078,84.83375334739685,0.755045293496196,79.23052287101746,0.7530829459877606,98.10643982887268,0.7489761630414705,87.31825971603394
3150,3150,0.796778239417669,72.58871483802795,0.7689106853313133,84.85953950881958,0.755057949874522,79.25953769683838,0.7530947662165451,98.12848567962646,0.7489943257716074,87.34313678741455
3151,3151,0.7967833669142054,72.61145734786987,0.7689157215353329,84.88335680961609,0.7550705927094142,79.28359389305115,0.7531065976778724,98.15439081192017,0.7490124894906454,87.36686897277832
3152,3152,0.7967883754170574,72.63463759422302,0.7689207266362952,84.90774893760681,0.755083223532596,79.31097292900085,0.753115423295453,98.18398451805115,0.7490306599243103,87.38789510726929
3153,3153,0.7967931623163915,72.65711951255798,0.7689256784558874,84.93305730819702,0.7550958435908622,79.33284640312195,0.7531243242961714,98.21121168136597,0.749048842778269,87.41366815567017
3154,3154,0.7967919645701409,72.67926359176636,0.7689305545959507,84.95798397064209,0.7551084538793468,79.35698652267456,0.7531332894240249,98.23532128334045,0.7490670433763694,87.43503928184509
3155,3155,0.7967962177989117,72.70403528213501,0.7689353357197163,84.98309230804443,0.7551210551901538,79.38127303123474,0.7531423091302365,98.26124501228333,0.7490852663832659,87.46133494377136
3156,3156,0.7967977068923308,72.72649216651917,0.7689400082207498,85.00614166259766,0.755133648168331,79.40557026863098,0.7531513754140148,98.28451466560364,0.7491035156054104,87.48484230041504
3157,3157,0.7968006983903531,72.75226163864136,0.7689445659229018,85.03174328804016,0.7551462333713036,79.42834258079529,0.7531604816530781,98.31084704399109,0.7491183687498878,87.51074743270874
3158,3158,0.7967973267885954,72.77441954612732,0.7689490106337576,85.05560636520386,0.7551588113244061,79.4501588344574,0.753169622429316,98.3354811668396,0.7491332958292494,87.5347547531128
3159,3159,0.7967957458411821,72.79859352111816,0.7689533515459042,85.08211970329285,0.755171382570118,79.47469663619995,0.7531787933550929,98.36248397827148,0.7491443675118947,87.55845165252686
3160,3160,0.7967962751896999,72.8224105834961,0.7689576036534124,85.10739398002625,0.755183947705565,79.49688839912415,0.753187990906919,98.38695907592773,0.7491555604175293,87.5813000202179
